,_District,Rural_/_Urban,Male_/_Female,In_school_with_pre-primary_as_percent_of_pre-primary_population,In_school_with_Primary_education_as_%_of_primary_school_age_population,In_school_with_Secondary_education_as_percent_of_secondary_school_age_population,In_school_with_Tertiary_education_as_%_of_population,University_students_as_%_of_population,Youth_Polytechnic_students_as_percent_of_population,%_of_people_with_over_3_years_Basic_Literacy,Students_in_Madrassa_school_as_percent_of_school_age_children,No_of_people_over_3_years_in_school_with_Pre-Primary_education,No_of_people_over_3_years_in_school_with_Primary_education,No_of_people_over_3_years_in_school_with_Secondary_education,No_of_people_over_3_years_in_school_with_Tertiary_education,No_of_people_over_3_years_in_University,Youth_Polytechnic,No_of_people_over_3_years_with_Basic_Literacy,No_of_people_over_3_years_in__Madrassa_school,Population,pre-primary_school_age_children,Primary_school_age_children,Secondary_School_age_children,School_age_children,Tertiary_age_population,County,Province,Census_Table,MTEF_Sector,MTP_Sector,Longtitude,Latitude,Geolocation,OBJECTID
534,NAROK SOUTH,Urban,Female,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Narok,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.5807782,-1.402738483,"(-1.402738483, 35.5807782)",533
535,TRANSMARA,Urban,Male,108.87%,121.59%,55.62%,4.35%,4.65%,0.9%,0.04%,0%,442,1622,307,29,31,6,1,0,2438,406,1334,552,2292,666,Narok,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.89742997,-1.159714592,"(-1.159714592, 34.89742997)",534
536,TRANSMARA,Urban,Female,107.91%,117.53%,49.03%,4.71%,2.25%,0.2%,0.04%,0%,464,1710,277,46,22,2,1,0,2522,430,1455,565,2450,977,Narok,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.89742997,-1.159714592,"(-1.159714592, 34.89742997)",535
537,KAJIADO CENTRAL,Urban,Male,126.44%,112.77%,68.06%,11.68%,8.32%,0.79%,0.22%,0.83%,1210,3858,897,177,126,12,14,47,6341,957,3421,1318,5696,1515,Kajiado,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.89341002,-2.133910157,"(-2.133910157, 36.89341002)",536
538,KAJIADO CENTRAL,Urban,Female,113.66%,114.39%,58.67%,14.72%,4.2%,0.67%,0.25%,1.17%,1015,3625,924,284,81,13,15,66,6023,893,3169,1575,5637,1929,Kajiado,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.89341002,-2.133910157,"(-2.133910157, 36.89341002)",537
539,LOITOKITOK,Urban,Male,86.21%,119.08%,62.85%,3.96%,5.18%,1.22%,0.15%,0%,350,1785,379,26,34,8,4,0,2586,406,1499,603,2508,657,Kajiado,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.47875865,-2.635934635,"(-2.635934635, 37.47875865)",538
540,LOITOKITOK,Urban,Female,93.77%,119.09%,61.54%,3.53%,2.44%,0.49%,0.16%,0%,376,1641,376,29,20,4,4,0,2450,401,1378,611,2390,821,Kajiado,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.47875865,-2.635934635,"(-2.635934635, 37.47875865)",539
541,KERICHO,Urban,Male,88.08%,129.62%,74.55%,14%,7.14%,0.86%,0.09%,0%,3309,16887,4174,1064,543,65,24,1,26067,3757,13028,5599,22384,7601,Kericho,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.21130866,-0.34219841,"(-0.34219841, 35.21130866)",540
542,KERICHO,Urban,Female,87.28%,126%,62.99%,21.38%,5.12%,0.53%,0.05%,0%,3204,16499,3702,1904,456,47,12,1,25825,3671,13094,5877,22642,8905,Kericho,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.21130866,-0.34219841,"(-0.34219841, 35.21130866)",541
543,KIPKELION,Urban,Male,98.55%,131.72%,53.48%,5.8%,2.95%,0.75%,0.03%,0.01%,3123,14685,2467,277,141,36,6,1,20736,3169,11149,4613,18931,4774,Kericho,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.47881562,-0.155533799,"(-0.155533799, 35.47881562)",542
544,KIPKELION,Urban,Female,100.3%,128.4%,44.19%,4.75%,1.94%,0.59%,0.04%,0%,2975,13952,1978,243,99,30,7,0,19284,2966,10866,4476,18308,5113,Kericho,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.47881562,-0.155533799,"(-0.155533799, 35.47881562)",543
545,BURET,Urban,Male,91.44%,125.73%,61.05%,9.72%,7.19%,1.07%,0.08%,0%,684,3259,602,127,94,14,4,0,4784,748,2592,986,4326,1307,Bomet,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.3033778,-0.547074877,"(-0.547074877, 35.3033778)",544
546,BURET,Urban,Female,89.96%,120.16%,63.3%,19.3%,3.05%,0.4%,0.08%,0%,672,3296,778,335,53,7,4,0,5145,747,2743,1229,4719,1736,Bomet,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.3033778,-0.547074877,"(-0.547074877, 35.3033778)",545
547,SOTIK,Urban,Male,94.92%,129.45%,64.53%,11.16%,5.98%,0%,0.13%,0%,187,1068,211,56,30,0,2,0,1554,197,825,327,1349,502,Bomet,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.1490337,-0.759704345,"(-0.759704345, 35.1490337)",546
548,SOTIK,Urban,Female,88.51%,124.72%,56.41%,7.4%,4.33%,0.54%,0.27%,0%,208,1014,198,41,24,3,4,0,1492,235,813,351,1399,554,Bomet,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.1490337,-0.759704345,"(-0.759704345, 35.1490337)",547
549,BOMET,Urban,Male,91.62%,132.19%,53.38%,6.66%,2.98%,0.57%,0.02%,0%,2887,15237,2530,340,152,29,4,0,21179,3151,11527,4740,19418,5104,Bomet,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.31899335,-0.840969003,"(-0.840969003, 35.31899335)",548
550,BOMET,Urban,Female,83.48%,130.03%,42.71%,7.73%,1.59%,0.72%,0.07%,0%,2633,14717,2069,443,91,41,15,0,20009,3154,11318,4844,19316,5730,Bomet,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.31899335,-0.840969003,"(-0.840969003, 35.31899335)",549
551,KAJIADO NORTH,Urban,Male,123.54%,110.14%,96.51%,16.29%,21.84%,1.02%,0.17%,0.06%,7047,18733,6077,1941,2602,121,62,16,36599,5704,17009,6297,29010,11913,Kajiado,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.44660994,-1.646437311,"(-1.646437311, 36.44660994)",550
552,KAJIADO NORTH,Urban,Female,123.14%,109.71%,84.36%,15.06%,12.7%,0.53%,0.21%,0.11%,6860,19174,6581,2597,2190,92,78,35,37607,5571,17477,7801,30849,17248,Kajiado,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.44660994,-1.646437311,"(-1.646437311, 36.44660994)",551
553,KAKAMEGA CENTRAL,Rural,Male,90.28%,122.12%,45.32%,4.05%,2.2%,0.68%,0.04%,0.01%,6718,28951,4353,375,204,63,15,3,40682,7441,23707,9605,40753,9269,Kakamega,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.6856109,0.350512813,"(0.350512813, 34.6856109)",552
554,KAKAMEGA CENTRAL,Rural,Female,89.06%,119.71%,38.67%,5.37%,1.07%,0.37%,0.03%,0%,6624,28923,3688,564,112,39,11,0,39961,7438,24160,9537,41135,10494,Kakamega,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.6856109,0.350512813,"(0.350512813, 34.6856109)",553
555,KAKAMEGA SOUTH,Rural,Male,91.58%,123.42%,47.13%,3.18%,2.11%,1.37%,0.05%,0.01%,3098,14772,2492,151,100,65,10,2,20690,3383,11969,5287,20639,4743,Kakamega,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.7077479,0.190561619,"(0.190561619, 34.7077479)",554
556,KAKAMEGA SOUTH,Rural,Female,94.06%,120.35%,44.99%,10.57%,1.52%,0.62%,0.02%,0.01%,3057,14851,2396,542,78,32,4,2,20962,3250,12340,5326,20916,5128,Kakamega,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.7077479,0.190561619,"(0.190561619, 34.7077479)",555
557,KAKAMEGA NORTH,Rural,Male,100.24%,125.94%,53.5%,3.43%,1.78%,0.44%,0.01%,0%,7147,29324,4904,320,166,41,6,1,41909,7130,23285,9167,39582,9316,Kakamega,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.82641205,0.473620028,"(0.473620028, 34.82641205)",556
558,KAKAMEGA NORTH,Rural,Female,96.52%,124.32%,45.91%,3.2%,0.87%,0.2%,0.03%,0.01%,6935,29172,4319,335,91,21,14,4,40891,7185,23465,9407,40057,10460,Kakamega,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.82641205,0.473620028,"(0.473620028, 34.82641205)",557
559,KAKAMEGA EAST,Rural,Male,83.67%,126.38%,45.13%,3.17%,1.79%,1.23%,0.08%,0%,4273,22663,3533,237,134,92,24,1,30957,5107,17932,7829,30868,7473,Kakamega,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.85789384,0.273804872,"(0.273804872, 34.85789384)",558
560,KAKAMEGA EAST,Rural,Female,85.74%,122.85%,43.73%,6.13%,1%,0.78%,0.07%,0%,4282,22204,3209,477,78,61,21,0,30332,4994,18074,7338,30406,7782,Kakamega,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.85789384,0.273804872,"(0.273804872, 34.85789384)",559
561,LUGARI,Rural,Male,89.57%,123.69%,48.96%,3.05%,2.19%,0.54%,0.05%,0.01%,8384,41351,6518,392,282,70,29,5,57031,9360,33430,13313,56103,12868,Kakamega,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.02947866,0.723211024,"(0.723211024, 35.02947866)",560
562,LUGARI,Rural,Female,89.36%,120.45%,49.24%,3.07%,1.03%,0.44%,0.04%,0%,8368,40370,6346,412,138,59,22,0,55715,9364,33515,12887,55766,13429,Kakamega,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.02947866,0.723211024,"(0.723211024, 35.02947866)",561
563,VIHIGA,Rural,Male,88.53%,125.59%,54.17%,4.93%,2.53%,1.2%,0.06%,0.01%,2824,14916,2558,193,99,47,13,1,20651,3190,11877,4722,19789,3914,Vihiga,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.72682968,0.079761357,"(0.079761357, 34.72682968)",562
564,VIHIGA,Rural,Female,85.35%,127.58%,57.85%,9.27%,1.05%,0.89%,0.15%,0%,2500,14363,2951,415,47,40,31,0,20347,2929,11258,5101,19288,4476,Vihiga,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.72682968,0.079761357,"(0.079761357, 34.72682968)",563
565,EMUHAYA,Rural,Male,91.32%,123.35%,47.75%,3.39%,3.69%,1.8%,0.06%,0.01%,3881,19253,3168,177,193,94,17,3,26786,4250,15609,6634,26493,5226,Vihiga,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.60778185,0.057677852,"(0.057677852, 34.60778185)",564
566,EMUHAYA,Rural,Female,88.96%,122.53%,45.81%,3.85%,1.91%,0.82%,0.12%,0.01%,3705,20011,3069,238,118,51,34,2,27228,4165,16331,6699,27195,6188,Vihiga,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.60778185,0.057677852,"(0.057677852, 34.60778185)",565
567,HAMISI,Rural,Male,97.13%,125.89%,54.74%,4.81%,2.53%,0.76%,0.03%,0.01%,4610,21651,4092,318,167,50,10,3,30901,4746,17199,7475,29420,6612,Vihiga,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.82143608,0.099070606,"(0.099070606, 34.82143608)",566
568,HAMISI,Rural,Female,91.76%,123.02%,49.83%,8.65%,1.89%,0.59%,0.06%,0%,4363,21799,3614,589,129,40,18,1,30553,4755,17720,7253,29728,6809,Vihiga,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.82143608,0.099070606,"(0.099070606, 34.82143608)",567
569,MUMIAS,Rural,Male,94.89%,121.58%,45.44%,2.56%,1.8%,0.4%,0.03%,0.01%,8357,35120,5277,272,191,43,13,3,49276,8807,28886,11612,49305,10638,Kakamega,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.48762031,0.35427418,"(0.35427418, 34.48762031)",568
570,MUMIAS,Rural,Female,91.33%,119.03%,36.3%,1.58%,0.61%,0.24%,0.02%,0.01%,8237,34298,4140,196,76,30,9,7,46993,9019,28814,11404,49237,12438,Kakamega,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.48762031,0.35427418,"(0.35427418, 34.48762031)",569
571,BUTERE,Rural,Male,89.38%,123%,40.7%,2.51%,1.62%,0.69%,0.03%,0%,7060,33543,4508,235,152,65,14,1,45578,7899,27270,11075,46244,9375,Kakamega,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.54564535,0.192421093,"(0.192421093, 34.54564535)",570
572,BUTERE,Rural,Female,86.2%,120.42%,35.06%,2.25%,0.69%,0.33%,0.07%,0%,6644,32692,3711,242,74,36,30,0,43429,7708,27149,10586,45443,10767,Kakamega,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.54564535,0.192421093,"(0.192421093, 34.54564535)",571
573,BUNGOMA SOUTH,Rural,Male,80.35%,129.98%,49.07%,4.93%,2.23%,0.58%,0.03%,0%,9172,49318,7628,728,330,86,17,1,67280,11415,37942,15545,64902,14767,Bungoma,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.52131934,0.56139561,"(0.56139561, 34.52131934)",572
574,BUNGOMA SOUTH,Rural,Female,80.08%,124.99%,36.29%,6.02%,1.07%,0.41%,0.05%,0%,9163,48970,5493,972,173,66,30,0,64867,11442,39178,15135,65755,16153,Bungoma,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.52131934,0.56139561,"(0.56139561, 34.52131934)",573
575,BUNGOMA NORTH,Rural,Male,93.29%,132.31%,53.57%,3.17%,2.18%,0.55%,0.02%,0.01%,7322,37065,6203,348,239,60,8,3,51248,7849,28014,11579,47442,10962,Bungoma,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.86452529,0.783636675,"(0.783636675, 34.86452529)",574
576,BUNGOMA NORTH,Rural,Female,89.59%,127.35%,48.3%,3.43%,1.03%,0.39%,0.02%,0%,7114,35621,5402,375,113,43,9,1,48678,7941,27971,11185,47097,10929,Bungoma,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.86452529,0.783636675,"(0.783636675, 34.86452529)",575
577,BUNGOMA EAST,Rural,Male,92.07%,129.74%,52.94%,4.25%,2.35%,0.81%,0.06%,0.01%,5841,26768,4214,332,184,63,24,5,37431,6344,20632,7960,34936,7817,Bungoma,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.73645726,0.63973936,"(0.63973936, 34.73645726)",576
578,BUNGOMA EAST,Rural,Female,91.17%,125.92%,51.4%,3.57%,1.03%,0.62%,0.04%,0.01%,5546,25634,4392,301,87,52,13,4,36029,6083,20357,8545,34985,8427,Bungoma,WESTERN,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,34.73645726,0.63973936,"(0.63973936, 34.73645726)",577
